metric,n,icc,lo,hi,bias,sd_diff,bias_lo,bias_hi,loa_lo,loa_hi,loa_se,prop_bias_slope,prop_bias_p,rmse,mae,pearson,grade,pre_lo,pre_hi,pre_basis,pre_hit
time,25,0.9724403913942599,0.9391222703884327,0.9877082757213534,-0.026759364611429037,0.17115328638155297,-0.09740796892758834,0.04388923970473026,-0.36221980591927283,0.3087010766964148,0.05928923757904723,-0.01686766681000664,0.7366450370659553,0.16981688118689806,0.11267509534253634,0.9721515634882957,높음,0.9,1.0,Boswell 2023 마커기반 대비 r=0.997,True
time_sit2stand,25,0.8215240970382152,0.6339978050658502,0.9174717988742577,-0.09544626109694704,0.2734942775755774,-0.20833915031729303,0.01744662812339895,-0.6314950451450787,0.4406025229511847,0.09474119686804912,-0.1864739124546627,0.13330484547777077,0.28445938871710685,0.18625429140962801,0.845193019554594,보통,0.8,0.95,국면 분할 오차 추가,True
time_stand2sit,25,0.9102609383649007,0.802564139150197,0.9598991268254148,0.07390287855802785,0.20181258168044527,-0.009401260851713986,0.1572070179677697,-0.3216497815356449,0.4694555386517006,0.06990992901543505,0.14631239278742583,0.0841005442846941,0.21109434113378775,0.14552895336344585,0.9265005107280508,높음,0.8,0.95,국면 분할 오차 추가,True
time_sd,25,0.5930796383162622,0.2597801650465231,0.7987325867482911,7.01421392957402e-05,0.07231710834569144,-0.029780893039858373,0.029921177318449853,-0.14167139021825947,0.14181167449685095,0.025051381182240172,0.0009043060443450382,0.9966644473281013,0.07085604076592822,0.045870783074955714,0.5831920033129934,낮음,,,,
trunk_lean_max,25,0.8224159298248244,0.09246839848188111,0.9477834617348889,-5.509436164884309,4.459090033248445,-7.350058066042574,-3.668814263726044,-14.24925263005126,3.2303803002826426,1.5446740986220602,-0.2116357772324755,0.007887693932929435,7.031502785505109,5.7023122031733635,0.9397015692438121,보통,0.5,0.8,Boswell 2023 요추 굴곡 r=0.583,False
trunk_lean_range_mean,25,0.6557768514705753,-0.07670414248244634,0.901532249429388,-6.844809896449016,3.3947926462471902,-8.24611142837201,-5.443508364526021,-13.498603483093508,-0.19101630980452367,1.1759906688922663,-0.27311998708008534,0.0011229951799931884,7.610194146347373,6.848435380565615,0.9377274723489056,낮음,0.5,0.8,동상,True
right_knee_range_mean,25,0.7501874611295293,0.5156431236512646,0.8809823136371983,-1.3310043633012967,4.666837232311266,-3.257380093525163,0.59537136692257,-10.478005338631379,7.815996612028785,1.6166398394034467,-0.019502920879349562,0.9008244532828742,4.76232795782675,3.9285916420316855,0.7578134331665529,보통,0.75,0.9,Jo 2022 정면 스쿼트 무릎 ICC 0.90-0.91,True
left_knee_range_mean,25,0.5663343445645411,-0.0920432021180117,0.8576710311290928,-15.583197603633106,8.760674981487416,-19.199426502269606,-11.966968704996606,-32.75412056734844,1.5877253600822279,3.0347868353067473,-0.05314436965260604,0.6647212337927101,17.79088240194639,15.583197603633106,0.8444123724147867,낮음,0.75,0.9,동상,False
right_hip_range_mean,25,0.630151968623065,-0.08086861663467848,0.878838971157663,-11.954235736087531,8.212283315885744,-15.344099680755214,-8.564371791419848,-28.050311035223586,4.141839563048526,2.844818389852864,-0.23790517845918357,0.045631056811818865,14.409985614285413,12.048686392248136,0.8607635292641175,낮음,0.5,0.75,Jo 2022 가려진 고관절 ICC 0.64. 최약,True
left_hip_range_mean,25,0.6907869038896078,-0.0751561983931735,0.9140354944193516,-15.595484954766164,7.981637498987336,-18.89014298548542,-12.30082692404691,-31.239494452781344,0.04852454324901423,2.76492033516861,-0.05209054569415398,0.5576469760287306,17.446415868394542,15.595484954766164,0.9154759242981352,낮음,0.5,0.75,동상,True
alcazar_rel_power_Wkg,25,0.9971937516842538,0.9937183747099293,0.9987559311105708,0.012348910118973322,0.06387511667436548,-0.014017442166635707,0.038715262404582354,-0.11284631856278302,0.13754413880072966,0.022126989483878198,0.000604308195031779,0.9695356308554983,0.06379126029546471,0.04713927198702105,0.9971865713053492,높음,0.85,1.0,시간 지표에만 의존,True
alcazar_power_W,25,0.9992335999129407,0.9982822684385553,0.9996604332035497,0.8718387871243192,4.5315045455894865,-0.99867435560628,2.7423519298549186,-8.009910122231073,9.753587696479713,1.5697592215380616,0.0003356487375454444,0.9676120222564609,4.524738111710406,3.40186623637518,0.9992313640088458,높음,,,,
