metric,n,icc,lo,hi,bias,sd_diff,bias_lo,bias_hi,loa_lo,loa_hi,loa_se,prop_bias_slope,prop_bias_p,rmse,mae,pearson,grade,pre_lo,pre_hi,pre_basis,pre_hit
time,10,0.9845367612660104,0.9398198349684358,0.9961263998002374,-0.0065328202195051865,0.06440696981552056,-0.052606790869681966,0.03954115043067159,-0.1327704810579255,0.11970484061891512,0.03527715022851496,0.06355044236450867,0.3310379544103568,0.061450058785618863,0.04669344180668551,0.9849960391960368,높음,0.9,1.0,Boswell 2023 마커기반 대비 r=0.997,True
time_sit2stand,10,0.7662608237479862,0.10462587232305556,0.9430220207090858,-0.11660980724930763,0.11992960111716255,-0.202402275638777,-0.030817338859838256,-0.3516718254389462,0.11845221094033097,0.0656881478444667,0.025576953638386506,0.8989669139795239,0.1629191377599029,0.11664424957006947,0.8583931407576307,보통,0.8,0.95,국면 분할 오차 추가,False
time_stand2sit,10,0.9291519980703108,0.7318534778103345,0.9821178945076208,0.09006552857856276,0.1640929032205288,-0.027319462961018434,0.20745052011814397,-0.23155656173367367,0.4116876188907992,0.08987738462039574,0.038689189672088065,0.7616428127236736,0.17984891502798553,0.13002988731932721,0.9409764033601328,높음,0.8,0.95,국면 분할 오차 추가,True
time_sd,10,0.8358239203606623,0.45862594870090473,0.9568534637320982,0.0003673998125160435,0.04129394634625911,-0.029172509881062503,0.029907309506094593,-0.0805687350261518,0.0813035346511839,0.02261762590225415,-0.05331106221894415,0.8154358957486544,0.03917659999266386,0.03474409916683698,0.8218316663736954,보통,,,,
trunk_lean_max,10,0.09320755645367705,-0.0275643599800483,0.42823398194168716,-10.101948344185313,2.5111571200924194,-11.898321932020831,-8.305574756349795,-15.023816299566455,-5.180080388804171,1.3754174001143273,-0.15846664280502235,0.6420934499099258,10.379050025036019,10.101948344185313,0.6425769955851579,낮음,0.5,0.8,Boswell 2023 요추 굴곡 r=0.583,False
trunk_lean_range_mean,10,0.041995870249021364,-0.01288989195601219,0.2464287786573486,-10.247174474199058,1.7203734598644256,-11.47785550956172,-9.016493438836395,-13.619106455533332,-6.875242492864784,0.9422873513009543,-0.13170382739166897,0.7104536717140598,10.376333700394474,10.247174474199058,0.6181041441073563,낮음,0.5,0.8,동상,False
right_knee_range_mean,10,0.47693018338749177,-0.08937218877269609,0.8309600918779041,-2.3565490890469034,4.636411228772811,-5.673237880469469,0.9601397023756624,-11.443915097441614,6.730816919347807,2.5394670158691137,-0.6926020292035088,0.060607894995342575,4.9899901586224935,4.438336160308397,0.6031621530946304,낮음,0.75,0.9,Jo 2022 정면 스쿼트 무릎 ICC 0.90-0.91,False
left_knee_range_mean,10,0.07164786848934855,-0.05691533188429906,0.3836526728263926,-21.51989506945971,8.74998063306589,-27.779254142432965,-15.260535996486457,-38.66985711026885,-4.369933028650568,4.7925617704635215,-1.0809091637738246,0.008040782951656418,23.06538160906257,21.51989506945971,0.5100606091368594,낮음,0.75,0.9,동상,False
right_hip_range_mean,10,0.030374487341536662,-0.0391199244309928,0.23692512360759216,-18.69867614201966,6.4381032916036895,-23.30421779302083,-14.093134491018493,-31.317358593562894,-6.07999369047643,3.5262944003596006,-0.48111518963941,0.3950182219681269,19.67091116491958,18.69867614201966,0.23680795531834495,낮음,0.5,0.75,Jo 2022 가려진 고관절 ICC 0.64. 최약,False
left_hip_range_mean,10,0.058399471092467306,-0.012704725271499032,0.31272819069321844,-23.62542709153135,3.8995842009690067,-26.415021580108625,-20.835832602954074,-31.268612125430604,-15.982242057632096,2.135890231761484,0.20493576998767843,0.4971301328976403,23.91332027351421,23.62542709153135,0.7107731812492146,낮음,0.5,0.75,동상,False
