metric,n,icc,lo,hi,bias,sd_diff,bias_lo,bias_hi,loa_lo,loa_hi,loa_se,prop_bias_slope,prop_bias_p,rmse,mae,pearson,grade,pre_lo,pre_hi,pre_basis,pre_hit
time,10,0.9845367612660104,0.9398198349684358,0.9961263998002374,-0.0065328202195051865,0.06440696981552056,-0.052606790869681966,0.03954115043067159,-0.1327704810579255,0.11970484061891512,0.03527715022851496,0.06355044236450867,0.3310379544103568,0.061450058785618863,0.04669344180668551,0.9849960391960368,높음,0.9,1.0,Boswell 2023 마커기반 대비 r=0.997,True
time_sit2stand,10,0.7662608237479862,0.10462587232305551,0.9430220207090858,-0.11660980724930763,0.11992960111716255,-0.202402275638777,-0.030817338859838256,-0.3516718254389462,0.11845221094033097,0.0656881478444667,0.025576953638386506,0.8989669139795239,0.1629191377599029,0.11664424957006947,0.8583931407576307,보통,0.8,0.95,국면 분할 오차 추가,False
time_stand2sit,10,0.9291519980703108,0.7318534778103345,0.9821178945076208,0.09006552857856276,0.1640929032205288,-0.027319462961018434,0.20745052011814397,-0.23155656173367367,0.4116876188907992,0.08987738462039574,0.038689189672088065,0.7616428127236735,0.17984891502798553,0.13002988731932721,0.9409764033601328,높음,0.8,0.95,국면 분할 오차 추가,True
time_sd,10,0.8358239203606623,0.4586259487009045,0.9568534637320982,0.0003673998125160435,0.04129394634625911,-0.029172509881062503,0.029907309506094593,-0.0805687350261518,0.0813035346511839,0.02261762590225415,-0.05331106221894416,0.8154358957486544,0.03917659999266386,0.03474409916683698,0.8218316663736954,보통,,,,
trunk_lean_max,10,0.09320755645367705,-0.0275643599800483,0.42823398194168716,-10.101948344185313,2.5111571200924194,-11.898321932020831,-8.305574756349795,-15.023816299566455,-5.180080388804171,1.3754174001143273,-0.15846664280502235,0.6420934499099258,10.379050025036019,10.101948344185313,0.6425769955851579,낮음,0.5,0.8,Boswell 2023 요추 굴곡 r=0.583,False
trunk_lean_range_mean,10,0.041995870249021364,-0.012889891956012188,0.2464287786573486,-10.247174474199058,1.7203734598644256,-11.47785550956172,-9.016493438836395,-13.619106455533332,-6.875242492864784,0.9422873513009543,-0.13170382739166897,0.7104536717140598,10.376333700394474,10.247174474199058,0.6181041441073563,낮음,0.5,0.8,동상,False
right_knee_range_mean,10,0.47693018338749177,-0.08937218877269618,0.8309600918779041,-2.3565490890469034,4.636411228772811,-5.673237880469469,0.9601397023756624,-11.443915097441614,6.730816919347807,2.5394670158691137,-0.692602029203509,0.06060789499534252,4.9899901586224935,4.438336160308397,0.6031621530946304,낮음,0.75,0.9,Jo 2022 정면 스쿼트 무릎 ICC 0.90-0.91,False
left_knee_range_mean,10,0.07164786848934855,-0.05691533188429906,0.3836526728263926,-21.51989506945971,8.74998063306589,-27.779254142432965,-15.260535996486457,-38.66985711026885,-4.369933028650568,4.7925617704635215,-1.0809091637738246,0.008040782951656382,23.06538160906257,21.51989506945971,0.5100606091368594,낮음,0.75,0.9,동상,False
right_hip_range_mean,10,0.030374487341536662,-0.0391199244309928,0.23692512360759213,-18.69867614201966,6.4381032916036895,-23.30421779302083,-14.093134491018493,-31.317358593562894,-6.07999369047643,3.5262944003596006,-0.4811151896394099,0.3950182219681269,19.67091116491958,18.69867614201966,0.23680795531834495,낮음,0.5,0.75,Jo 2022 가려진 고관절 ICC 0.64. 최약,False
left_hip_range_mean,10,0.058399471092467306,-0.012704725271499032,0.31272819069321844,-23.62542709153135,3.8995842009690067,-26.415021580108625,-20.835832602954074,-31.268612125430604,-15.982242057632096,2.135890231761484,0.20493576998767843,0.4971301328976403,23.91332027351421,23.62542709153135,0.7107731812492146,낮음,0.5,0.75,동상,False
alcazar_rel_power_Wkg,10,0.9831341202543712,0.9348903593308208,0.9957663771524743,0.005091121073989235,0.04063386450387109,-0.023976594515131205,0.034158836663109676,-0.0745512533535981,0.08473349550157656,0.02225608418737866,0.07580351174109541,0.2606586961690861,0.038883407307707445,0.028549288348724212,0.9843903467718732,높음,0.85,1.0,시간 지표에만 의존,True
alcazar_power_W,10,0.9831341202543759,0.93489035933084,0.9957663771524752,0.4683831388070246,3.738315534356143,-2.2058466953920575,3.142612973006107,-6.858715308531015,7.795481586145065,2.0475597452388383,0.07580351174109402,0.26065869616909576,3.5772734723090895,2.6265345280826464,0.9843903467718733,높음,,,,
