metric,n,icc,lo,hi,bias,sd_diff,bias_lo,bias_hi,loa_lo,loa_hi,loa_se,prop_bias_slope,prop_bias_p,rmse,mae,pearson,grade,pre_lo,pre_hi,pre_basis,pre_hit
time,20,0.9975730081684681,0.9939650876803153,0.9990333379753761,0.015116630670109866,0.09208062629119176,-0.027978428986336696,0.05821169032655643,-0.16536139686062598,0.19559465820084573,0.03566267321341345,0.03281086677985276,0.03874256034506858,0.09101325273873972,0.07499787481750145,0.9980519288098966,높음,0.9,1.0,Boswell 2023 마커기반 대비 r=0.997,True
time_sit2stand,20,0.992384227929881,0.9812027174621456,0.996957610589939,0.018389640779505445,0.0834078383686523,-0.020646429185367958,0.05742571074437885,-0.14508972242305307,0.18186900398206396,0.03230371689449504,0.04958970825343973,0.07992217622909455,0.08334988310887974,0.06169084272680299,0.9935868397638177,높음,0.8,0.95,국면 분할 오차 추가,False
time_stand2sit,20,0.9895730238620234,0.9740415939829123,0.9958487162067844,-0.008287365247549649,0.07863845331588055,-0.04509129429796205,0.028516563802862754,-0.16241873374667554,0.14584400325157626,0.03045654200639148,-0.0394504085077762,0.25485028040380964,0.07709401043962184,0.06166969651411978,0.9899179271255119,높음,0.8,0.95,국면 분할 오차 추가,False
time_sd,20,0.5443285699995324,0.14028011676889673,0.7916883794842183,-0.004559235910132875,0.04013159791709286,-0.023341401887983976,0.014222930067718223,-0.08321716782763489,0.07409869600736912,0.01554290103895929,0.1771678188524206,0.4978911696705797,0.03938025553363635,0.02635314476778634,0.5399531424053018,낮음,,,,
trunk_lean_max,20,0.7035219114256018,0.31349438829521925,0.8790878466784051,-2.9432920070965225,4.664880725369561,-5.126523390800082,-0.7600606233929632,-12.086458228820861,6.199874214627817,1.8067005361400286,-0.13179619512491034,0.4495821156507968,5.416274034044666,4.147064901317455,0.7670315049390932,낮음,0.5,0.8,Boswell 2023 요추 굴곡 r=0.583,True
trunk_lean_range_mean,20,0.6230610358753286,-0.055459374470240776,0.8729654735732224,-4.545460943485647,3.692889856983596,-6.273786597875967,-2.8171352890953276,-11.783525063173496,2.6926031762022014,1.4302500915475758,-0.12399624059242009,0.4285251222939748,5.797997836303075,4.709682701432874,0.8080030615144572,낮음,0.5,0.8,동상,True
right_knee_range_mean,20,0.39164655466359616,-0.011084091430121073,0.6967882925078123,-2.3941825856270564,5.650244123295215,-5.038578235118706,0.25021306386459274,-13.468661067285678,8.680295896031565,2.1883301391528693,0.012125782552632776,0.9682975900083723,6.005090005446243,5.032996598766952,0.42103775430955415,낮음,0.75,0.9,Jo 2022 정면 스쿼트 무릎 ICC 0.90-0.91,False
left_knee_range_mean,20,0.06734618806442602,-0.09685221351732541,0.3237664007392483,-21.70263805870904,15.607525219955397,-29.007184710210392,-14.39809140720769,-52.29338748982162,8.888111372403536,6.044768525239951,0.7714737154499681,0.04173516220203397,26.503199807274083,21.909365285475413,0.19322098732496898,낮음,0.75,0.9,동상,False
right_hip_range_mean,20,0.735582121831718,0.29700420014450296,0.8994476957701306,-3.54708122935004,4.823289153809663,-5.804450039661906,-1.2897124190381746,-13.000727970816978,5.906565512116899,1.8680518566647688,-0.21137018153577372,0.16592015828987944,5.889201779171981,4.607528085386933,0.8208090258843121,낮음,0.5,0.75,Jo 2022 가려진 고관절 ICC 0.64. 최약,True
left_hip_range_mean,20,0.2356321743657972,-0.10940482831085677,0.578549130992134,-14.71972430768752,13.156609170128938,-20.877206938944287,-8.562241676430752,-40.50667828114024,11.067229665765199,5.095532820846916,0.774313108702234,0.005707560065527119,19.52208570586329,17.37643394183603,0.4817318760627611,낮음,0.5,0.75,동상,False
alcazar_rel_power_Wkg,20,0.9993042676056823,0.9982475998051193,0.9997242927368483,0.003338530682613583,0.0560124388973308,-0.02287609766005271,0.029553159025279874,-0.10644584955615478,0.11312291092138195,0.02169352430298227,0.021287344854049286,0.010708548025556233,0.054696155557631354,0.04862103095864001,0.9994967252090681,높음,0.85,1.0,시간 지표에만 의존,True
alcazar_power_W,20,0.9995051367998238,0.9987602966637454,0.9998034764396647,0.4781676838284639,4.240891227281589,-1.5066305065991734,2.4629658742561014,-7.833979121643449,8.790314489300377,1.6424901096338727,0.021454225979675372,0.0012565937602224335,4.161074959119353,3.7093719359921677,0.9997159647353764,높음,,,,
